Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SP1,SMTSO3015CTJ,SMTSO3060CTJ,8.25,-12.25,0,top
SP2,SMTSO3015CTJ,SMTSO3060CTJ,8.25,-30,0,top
SP3,SMTSO3015CTJ,SMTSO3060CTJ,32.75,-15.25,0,top
SP4,SMTSO3015CTJ,SMTSO3060CTJ,32.75,-30,0,top
